$Date,$Time,SCA131TE402PV,SCA141TE402PV,SCA151TE402PV,SCA161TE402PV,SCA171TE402PV,SCA181TE402PV
10/01/25,00:00:00,35.2,34.9,36.3,36.1,35.2,65.7
10/01/25,00:00:37,35.2,34.9,36.3,36.1,35.2,65.7
10/01/25,00:01:14,35.2,34.9,36.3,36,35.1,65.7
10/01/25,00:01:51,35.2,34.9,36.3,36,35.1,65.7
10/01/25,00:02:28,35.2,34.9,36.3,36,35.1,65.7
10/01/25,00:03:05,35.2,34.9,36.3,36,35.1,65.7
10/01/25,00:03:42,35.2,34.9,36.3,36,35.1,65.7
10/01/25,00:04:19,35.2,34.9,36.3,36,35.1,65.7
10/01/25,00:04:56,35.2,34.9,36.3,36,35.1,65.7
10/01/25,00:05:33,35.2,34.9,36.3,36,35.1,65.7
10/01/25,00:06:10,35.2,34.9,36.3,36,35.1,65.7
10/01/25,00:06:47,35.2,34.9,36.3,36,35.1,65.7
10/01/25,00:07:24,35.2,34.9,36.3,36,35.1,65.7
10/01/25,00:08:01,35.2,34.9,36.3,36,35.1,65.7
10/01/25,00:08:38,35.2,34.9,36.3,36,35.1,65.7
10/01/25,00:09:15,35.2,34.9,36.3,36,35.1,65.7
10/01/25,00:09:52,35.2,34.9,36.3,36,35.1,65.7
10/01/25,00:10:29,35.2,34.9,36.3,36,35.1,65.7
10/01/25,00:11:06,35.2,34.9,36.2,36,35.1,65.7
10/01/25,00:11:43,35.2,34.9,36.2,36,35.1,65.7
10/01/25,00:12:20,35.2,34.9,36.2,36,35.1,65.7
10/01/25,00:12:57,35.2,34.9,36.2,36,35.1,65.7
10/01/25,00:13:34,35.2,34.9,36.2,36,35.1,65.7
10/01/25,00:14:11,35.2,34.9,36.2,36,35.1,65.7
10/01/25,00:14:48,35.2,34.9,36.2,36,35.1,65.7
10/01/25,00:15:25,35.2,34.9,36.2,36,35.1,65.7
10/01/25,00:16:02,35.2,34.9,36.2,36,35.1,65.7
10/01/25,00:16:39,35.2,34.9,36.2,36,35.1,65.7
10/01/25,00:17:16,35.2,34.9,36.2,36,35.1,65.7
10/01/25,00:17:53,35.2,34.9,36.2,36,35.1,65.7
10/01/25,00:18:30,35.2,34.9,36.2,36,35.1,65.7
10/01/25,00:19:07,35.2,34.9,36.2,36,35.1,65.7
10/01/25,00:19:44,35.2,34.9,36.2,36,35.1,65.7
10/01/25,00:20:21,35.2,34.9,36.2,36,35.1,65.7
10/01/25,00:20:58,35.1,34.9,36.2,36,35.1,65.7
10/01/25,00:21:35,35.1,34.9,36.2,36,35.1,65.7
10/01/25,00:22:12,35.1,34.9,36.2,36,35.1,65.7
10/01/25,00:22:49,35.1,34.9,36.2,36,35.1,65.7
10/01/25,00:23:26,35.1,34.9,36.2,36,35.1,65.7
10/01/25,00:24:03,35.1,34.9,36.2,36,35.1,65.7
10/01/25,00:24:40,35.1,34.9,36.2,36,35.1,65.7
10/01/25,00:25:17,35.1,34.9,36.2,36,35.1,65.7
10/01/25,00:25:54,35.1,34.9,36.2,36,35.1,65.7
10/01/25,00:26:31,35.1,34.9,36.2,36,35.1,65.7
10/01/25,00:27:08,35.1,34.9,36.2,36,35.1,65.7
10/01/25,00:27:45,35.1,34.9,36.2,36,35.1,65.7
10/01/25,00:28:22,35.1,34.9,36.2,36,35.1,65.7
10/01/25,00:28:59,35.1,34.9,36.2,36,35.1,65.7
10/01/25,00:29:36,35.1,34.9,36.2,36,35.1,65.7
10/01/25,00:30:13,35.1,34.9,36.2,36,35.1,65.7
10/01/25,00:30:50,35.1,34.9,36.2,36,35.1,65.7
10/01/25,00:31:27,35.1,34.8,36.1,36,35.1,65.7
10/01/25,00:32:04,35.1,34.8,36.1,36,35.1,65.7
10/01/25,00:32:41,35.1,34.8,36.1,36,35.1,65.7
10/01/25,00:33:18,35.1,34.8,36.1,36,35.1,65.7
10/01/25,00:33:55,35.1,34.8,36.1,36,35.1,65.7
10/01/25,00:34:32,35.1,34.8,36.1,36,35.1,65.7
10/01/25,00:35:09,35.1,34.8,36.1,36,35.1,65.7
10/01/25,00:35:46,35.1,34.8,36.1,36,35.1,65.7
10/01/25,00:36:23,35.1,34.8,36.1,36,35.1,65.7
10/01/25,00:37:00,35.1,34.8,36.1,36,35.1,65.7
10/01/25,00:37:37,35.1,34.8,36.1,36,35.1,65.7
10/01/25,00:38:14,35.1,34.8,36.1,36,35.1,65.7
10/01/25,00:38:51,35.1,34.8,36.1,36,35.1,65.7
10/01/25,00:39:28,35.1,34.8,36.1,36,35.1,65.7
10/01/25,00:40:05,35.1,34.8,36.1,36,35.1,65.7
10/01/25,00:40:42,35.1,34.8,36.1,36,35.1,65.7
10/01/25,00:41:19,35.1,34.8,36.1,35.9,35.1,65.7
10/01/25,00:41:56,35.1,34.8,36.1,35.9,35.1,65.7
10/01/25,00:42:33,35.1,34.8,36.1,35.9,35.1,65.7
10/01/25,00:43:10,35.1,34.8,36.1,35.9,35.1,65.7
